utc_iso,board_timestamp,sample_index,label,trial_id,phase,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
2026-06-14T08:31:02.215549+00:00,1781425862.131961,186,Rest,trial_20260614_142816_r05_rest,rest,19742.446511083428,3223.188605688644,-41144.174771806574,-56398.390996264345,-15438.707523191873,-49869.267626913505,-34343.32124511257,-61131.55169863126,19808.428860715492,3287.9192576312134,-40682.72300752676,-56079.90098952067,-15312.084890852559,-49792.154108542694,-34200.04656315405,-61056.82981691716
2026-06-14T08:31:02.215549+00:00,1781425862.131971,188,Rest,trial_20260614_142816_r05_rest,rest,20305.956340546174,3789.492403208304,-42459.507877768025,-56565.2020651343,-15070.88721643534,-49287.98816060879,-33962.2687056385,-60557.82712195243,19996.831714729276,3479.5854663354717,-41920.27204278375,-56565.15736164539,-15295.87987612246,-49610.121501698675,-34197.94549917525,-60874.819561817596
2026-06-14T08:31:02.266054+00:00,1781425862.131982,190,Rest,trial_20260614_142816_r05_rest,rest,19797.9235408215,3283.113632573323,-40655.69974848029,-56076.19059994109,-15312.643684463941,-49799.61959119077,-34208.272005113606,-61068.5644827562,20220.14799358225,3705.4498440563493,-41640.2270365032,-56179.79093549144,-15031.92812584974,-49359.916074265966,-33912.91605388118,-60634.00186705612
2026-06-14T08:31:02.266054+00:00,1781425862.132013,192,Rest,trial_20260614_142816_r05_rest,rest,20006.442964845057,3491.208373452231,-41929.68212719943,-56560.61995752096,-15286.559198684598,-49600.465548093984,-34193.56455726201,-60867.130561724975,19748.794406508732,3232.911614526703,-41172.22621109799,-56410.751510948125,-15432.136110322013,-49860.72926053158,-34343.41065209039,-61124.93558227248
2026-06-14T08:31:02.266054+00:00,1781425862.132032,194,Rest,trial_20260614_142816_r05_rest,rest,20232.66497047722,3718.503262818249,-41611.661507089324,-56162.714202727584,-15026.653114158287,-49355.71394630837,-33907.39517300072,-60626.58108789696,20323.837736110418,3809.56426972917,-42444.0181188605,-56545.37606780244,-15059.912509907785,-49271.7831458787,-33949.10352815432,-60541.59975547788
2026-06-14T08:31:02.266054+00:00,1781425862.132043,196,Rest,trial_20260614_142816_r05_rest,rest,19755.656392056513,3242.768733831493,-41148.35454801971,-56381.29191175603,-15423.061302073158,-49854.29195812845,-34330.62545426196,-61111.79275653276,19813.39094798457,3301.3079525599424,-40657.845515948,-56065.9311492361,-15304.619408204486,-49792.645846920714,-34200.00185966514,-61054.99697387183
2026-06-14T08:31:02.266054+00:00,1781425862.132054,198,Rest,trial_20260614_142816_r05_rest,rest,20312.572456904945,3799.9306678689327,-42465.96753191561,-56555.121428384955,-15062.035925631038,-49274.80063138016,-33957.12780441377,-60544.147854345785,20002.68787177657,3489.576696106994,-41911.39840023499,-56548.39355330391,-15288.347338241023,-49599.079739937755,-34192.08934212796,-60862.10141922253
2026-06-14T08:31:02.266054+00:00,1781425862.132065,200,Rest,trial_20260614_142816_r05_rest,rest,19806.439555458972,3293.194269322666,-40636.03021335962,-56066.37818412521,-15305.379367515967,-49792.35527424279,-34203.33226958898,-61056.51689249479,20214.113022579317,3700.599515509548,-41599.18923368326,-56162.513037027486,-15028.888288603817,-49361.27953067774,-33910.457361991095,-60631.78904435504
2026-06-14T08:31:02.266054+00:00,1781425862.132076,202,Rest,trial_20260614_142816_r05_rest,rest,20018.021168472907,3507.9498300492564,-41925.30118528619,-56556.306070841085,-15270.868274076973,-49581.891248451626,-34181.65107746734,-60845.40466611442,19767.97220325139,3255.173952004189,-41155.149478334126,-56393.764185162094,-15413.874735102027,-49839.20453062112,-34324.16580011437,-61098.42641334849
2026-06-14T08:31:02.266054+00:00,1781425862.132087,204,Rest,trial_20260614_142816_r05_rest,rest,20218.583371470377,3703.3264283330955,-41560.8112884535,-56155.516941012975,-15025.982561824629,-49361.01130974428,-33911.3067282804,-60632.12432052187,20333.4489862262,3820.762493701279,-42431.94817685463,-56538.8940619104,-15041.762893410076,-49257.634491638484,-33940.654568750215,-60528.50163322707
